"","simulated eta","2PL eta","RanItem eta"
"eta[1]",-2.42978194563591,-1.19919749743097,-1.82821274366285
"eta[2]",0.0590042738216391,-0.321060293801996,-0.160303467123764
"eta[3]",-2.87492114326166,-1.51295491272731,-2.64364591090566
"eta[4]",-0.456418044490597,-0.763757442796245,-0.131490618705796
"eta[5]",-0.343385920480461,-0.676698463137738,0.0926407353736055
"eta[6]",-0.488842505100289,-1.39874013251351,-1.73844358930534
"eta[7]",-0.922559790365059,-1.46406521340631,-1.85725195435626
"eta[8]",-1.49405239270768,-1.72437096807743,-2.10086878778329
"eta[9]",-1.28841468261574,-1.78994758588752,-3.23670194646937
"eta[10]",-3.43365029032875,-1.68435507036211,-3.35491368595168
"eta[11]",-2.07141564384599,-1.84092690263762,-2.19328838421271
"eta[12]",-1.01854671490549,-1.88000704544316,-1.04956001016651
"eta[13]",-3.12537619321371,-2.32721903836583,-3.25734298087949
"eta[14]",-0.877984113941634,-2.34060345339486,-1.25530350364269
"eta[15]",-1.86789411188162,-2.23295613113043,-1.24100113606284
"eta[16]",-1.77992423559707,-1.37747144595703,-0.942679925178591
"eta[17]",-1.95203161196023,-2.21285904041175,-2.18681050490742
"eta[18]",-2.76242016134173,-2.66151517146668,-2.23487119208203
"eta[19]",-2.22215617218205,-2.77602222605886,-3.70267586932597
"eta[20]",-4.96431148149042,-2.50365215836331,-4.33215222071157
"eta[21]",-0.7822659363535,0.190368052143161,0.0938824894290777
"eta[22]",-0.20391383862651,0.304232072855059,-0.0243874869736097
"eta[23]",-0.635086302974258,-0.801535908981466,-0.866834759324844
"eta[24]",-0.178048344754213,-0.14923378445291,0.447313170247668
"eta[25]",1.0003833200773,-0.0881733506917786,0.967394678694473
"eta[26]",-0.287217251090951,-0.600702631094824,-0.985178040096458
"eta[27]",0.749495728548922,-0.767993550135478,-0.963334489952878
"eta[28]",0.241309433511614,-0.910332159350985,-1.66240666215776
"eta[29]",-0.373509881092991,-0.933757895835388,-1.87032570620605
"eta[30]",0.698694563252815,-0.057646552496159,-0.00476996725900589
"eta[31]",-1.34798746042723,-1.38022183373768,-1.58026765874842
"eta[32]",0.455390023737719,-1.35644970848017,-1.04774762804425
"eta[33]",0.424011667368219,-0.908325535381505,-1.11732117637018
"eta[34]",-0.715590506532056,-1.80378920588857,-0.885923115961222
"eta[35]",-0.961909979959673,-1.73008590991627,-0.664458239642239
"eta[36]",0.355374478926233,-1.66728574396172,-1.54699783338557
"eta[37]",-0.946995368683684,-1.67523845447694,-1.6367830501683
"eta[38]",-0.888256553797578,-1.10959184507388,-0.992793011116382
"eta[39]",-1.61866337306679,-2.14188720123936,-2.84218094284195
"eta[40]",-3.1740853160086,-1.92084208593375,-2.83577111954175
"eta[41]",-1.71561784781668,-1.94411711505787,-2.51686194361335
"eta[42]",-0.462028170442758,-1.12316060769518,-0.178924555270496
"eta[43]",-1.39935538580132,-2.49412489859508,-3.85697106849999
"eta[44]",-1.63784051019892,-2.49291532790255,-1.37331803459853
"eta[45]",-2.63267658294261,-2.30333732814816,-1.48679499876207
"eta[46]",-2.07730330841572,-2.45584179961065,-2.17895166883632
"eta[47]",-1.32526432391887,-2.34670809260375,-2.42951527490546
"eta[48]",-3.438946218826,-2.80746443656583,-2.39861536545338
"eta[49]",-1.59091728698027,-2.9321592728829,-4.11620483000853
"eta[50]",-6.92079670179256,-2.68596757856189,-5.06801148362185
"eta[51]",-0.206885762101555,0.846829233604467,1.01000399738233
"eta[52]",-1.35429281670257,0.268801255655893,-0.739105458076549
"eta[53]",1.76259337282068,0.879875764983048,1.7643753784495
"eta[54]",-0.00302536841359191,-0.123804628190019,0.0379840588617256
"eta[55]",-1.09567397830475,0.627220069304322,1.88733712896811
"eta[56]",0.350138997323031,1.13434762328321,0.638349633652558
"eta[57]",0.187811295643431,0.892474014378435,0.817072659450843
"eta[58]",0.867794246023918,0.0308038011461302,-1.20148172567012
"eta[59]",-0.78475533285613,0.939697986341585,0.360737493016987
"eta[60]",1.70802449613094,0.826278474599656,2.34111658850662
"eta[61]",-0.0941419170707027,-0.326809510973813,-0.292796870067204
"eta[62]",-1.86100702718561,-1.13852623926112,-0.927747372751837
"eta[63]",0.452163788015911,-0.608673643917935,-0.527289432658831
"eta[64]",-0.351136785906228,-1.59203785463439,-0.682562553863775
"eta[65]",-0.373437312378385,-1.51202947827079,-0.308355507503313
"eta[66]",0.0227443929729112,-1.36258621084322,-1.25919479455349
"eta[67]",0.824302419119561,-0.612113773505642,-0.278351888192476
"eta[68]",-0.562719649371855,-1.65478881390149,-1.78690940821484
"eta[69]",-0.190794750309768,-1.75859998479483,-2.30826712594994
"eta[70]",-2.61011299663494,-1.65801573999501,-1.75758209689797
"eta[71]",-1.03728447670825,-1.95188427492998,-2.08114887427483
"eta[72]",-1.89987235783917,-2.05410751562604,-1.04410298972408
"eta[73]",-0.0156883743235749,-2.55871048346919,-3.04644110616121
"eta[74]",-0.376466258293125,-2.49118344087086,-1.11356551065615
"eta[75]",0.502175558615775,-1.41652467397008,-0.118161799373984
"eta[76]",-1.28993055027909,-2.46458817805111,-1.89835358131751
"eta[77]",-1.4404508839926,-2.44681558186441,-2.06148502283475
"eta[78]",-3.05115781531108,-2.8926512437809,-2.20516591353577
"eta[79]",-2.37439811958122,-3.01499112710095,-3.55827474094556
"eta[80]",-4.53533985848143,-2.7435049888781,-3.97793896272873
"eta[81]",-2.65450811227533,-0.87250591871956,-1.44638292082882
"eta[82]",-0.630891483939949,0.0599708874658732,-0.0823953609204916
"eta[83]",-1.90931237030187,-1.07320371799103,-2.00271585681041
"eta[84]",-1.15746985603138,-1.16633941153642,-0.822565757976448
"eta[85]",-0.49026375863163,-0.299743837549027,0.377123317916436
"eta[86]",0.264160752517918,-0.0628040644008309,-0.516519152789383
"eta[87]",-1.52238291821979,-0.202401866924231,-0.51203193319371
"eta[88]",-4.4962680969959,-1.18464346692708,-1.92857703553803
"eta[89]",-3.07420813043094,-1.27367760119948,-2.67073787022091
"eta[90]",-5.10361337594642,-1.19262509523923,-2.44761597900105
"eta[91]",-2.49667303148814,-1.09499291837467,-0.839202846662315
"eta[92]",-1.13653753853491,-1.03142698623393,-0.882935881232281
"eta[93]",1.26920338916778,-0.546732167004885,0.0680323885653818
"eta[94]",0.417404821773339,-1.4609230447446,-0.475135722658438
"eta[95]",0.712290067542511,-0.573605763316981,0.937062975294677
"eta[96]",-0.785830225497123,-1.24932493325014,-0.994183723978014
"eta[97]",2.05258510292947,-1.35596211796616,-0.963470538454401
"eta[98]",0.533495118975839,-1.58674672980094,-1.64923335938809
"eta[99]",-0.762967058782918,-1.66055969258919,-1.8854818593444
"eta[100]",1.28842248863375,-0.684159329811042,0.0265245605274492
"eta[101]",-2.20385695355094,-1.86427147671596,-2.10910713864325
"eta[102]",-2.92124732908549,-2.02189191126952,-1.08397036693822
"eta[103]",-3.54233040085664,-2.45529777478257,-3.18576006307272
"eta[104]",-1.90903201135181,-2.46891928143244,-1.18124629278004
"eta[105]",-0.637552386584367,-1.43457442117968,-0.172323308717122
"eta[106]",-1.52137578943304,-2.42384729094507,-1.95427146822816
